escala,modo,grado,nota
Occidental,1 Mayor/Jónico,01,S
Occidental,1 Mayor/Jónico,02,N
Occidental,1 Mayor/Jónico,03,S
Occidental,1 Mayor/Jónico,04,N
Occidental,1 Mayor/Jónico,05,S
Occidental,1 Mayor/Jónico,06,S
Occidental,1 Mayor/Jónico,07,N
Occidental,1 Mayor/Jónico,08,S
Occidental,1 Mayor/Jónico,09,N
Occidental,1 Mayor/Jónico,10,S
Occidental,1 Mayor/Jónico,11,N
Occidental,1 Mayor/Jónico,12,S
Occidental,2 Dórico,01,S
Occidental,2 Dórico,02,N
Occidental,2 Dórico,03,S
Occidental,2 Dórico,04,S
Occidental,2 Dórico,05,N
Occidental,2 Dórico,06,S
Occidental,2 Dórico,07,N
Occidental,2 Dórico,08,S
Occidental,2 Dórico,09,N
Occidental,2 Dórico,10,S
Occidental,2 Dórico,11,S
Occidental,2 Dórico,12,N
Occidental,3 Frigio,01,S
Occidental,3 Frigio,02,S
Occidental,3 Frigio,03,N
Occidental,3 Frigio,04,S
Occidental,3 Frigio,05,N
Occidental,3 Frigio,06,S
Occidental,3 Frigio,07,N
Occidental,3 Frigio,08,S
Occidental,3 Frigio,09,S
Occidental,3 Frigio,10,N
Occidental,3 Frigio,11,S
Occidental,3 Frigio,12,N
Occidental,4 Lidio,01,S
Occidental,4 Lidio,02,N
Occidental,4 Lidio,03,S
Occidental,4 Lidio,04,N
Occidental,4 Lidio,05,S
Occidental,4 Lidio,06,N
Occidental,4 Lidio,07,S
Occidental,4 Lidio,08,S
Occidental,4 Lidio,09,N
Occidental,4 Lidio,10,S
Occidental,4 Lidio,11,N
Occidental,4 Lidio,12,S
Occidental,5 Mixolidio,01,S
Occidental,5 Mixolidio,02,N
Occidental,5 Mixolidio,03,S
Occidental,5 Mixolidio,04,N
Occidental,5 Mixolidio,05,S
Occidental,5 Mixolidio,06,S
Occidental,5 Mixolidio,07,N
Occidental,5 Mixolidio,08,S
Occidental,5 Mixolidio,09,N
Occidental,5 Mixolidio,10,S
Occidental,5 Mixolidio,11,S
Occidental,5 Mixolidio,12,N
Occidental,6 menor/Eólio,01,S
Occidental,6 menor/Eólio,02,N
Occidental,6 menor/Eólio,03,S
Occidental,6 menor/Eólio,04,S
Occidental,6 menor/Eólio,05,N
Occidental,6 menor/Eólio,06,S
Occidental,6 menor/Eólio,07,N
Occidental,6 menor/Eólio,08,S
Occidental,6 menor/Eólio,09,S
Occidental,6 menor/Eólio,10,N
Occidental,6 menor/Eólio,11,S
Occidental,6 menor/Eólio,12,N
Occidental,7 Locrio,01,S
Occidental,7 Locrio,02,S
Occidental,7 Locrio,03,N
Occidental,7 Locrio,04,S
Occidental,7 Locrio,05,N
Occidental,7 Locrio,06,S
Occidental,7 Locrio,07,S
Occidental,7 Locrio,08,N
Occidental,7 Locrio,09,S
Occidental,7 Locrio,10,N
Occidental,7 Locrio,11,S
Occidental,7 Locrio,12,N
Cromática,1 Cromática,01,S
Cromática,1 Cromática,02,S
Cromática,1 Cromática,03,S
Cromática,1 Cromática,04,S
Cromática,1 Cromática,05,S
Cromática,1 Cromática,06,S
Cromática,1 Cromática,07,S
Cromática,1 Cromática,08,S
Cromática,1 Cromática,09,S
Cromática,1 Cromática,10,S
Cromática,1 Cromática,11,S
Cromática,1 Cromática,12,S
