escala,modo
Occidental,1 Mayor/Jónico
Occidental,2 Dórico
Occidental,3 Frigio
Occidental,4 Lidio
Occidental,5 Mixolidio
Occidental,6 menor/Eólio
Occidental,7 Locrio
Cromática,1 Cromática
Blues,1 Blues
Bachiana,1 Bachiana
Pentatónica Mayor,1 Pentatónica Mayor
Pentatónica menor,1 Pentatónica menor
Tonos enteros,1 Tonos enteros
Árabe,1 Árabe
Aumentada,1 Aumentada
Disminuida,1 Disminuida
menor Armónica,1 menor Armónica
Pentafónica,1 Pentafónica
Napolitana,1 Napolitana
Napolitana menor,1 Napolitana menor
Japonesa,1 Japonesa
Bebop Dominante,1 Bebop Dominante
Bebop Mayor,1 Bebop Mayor
Magiar,1 Magiar
Enigmática,1 Enigmática
